SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
255,2990,TROPICANA MOSAMBI DELIGHT 200ML,,PIONEER SALES CORPORATION,16.04,20.00,4,47.53,22029020,8902080011018
256,2991,TROPICANA POMEGRANATE DELIAGHT 200ML,,PIONEER SALES CORPORATION,15.77,20.00,1,14.72,22029020,8902080011612
257,2996,TROPICANA APPLE JUICE,,PIONEER SALES CORPORATION,23.66,30.00,12,265.02,2009,8902080011032
258,2997,TROPICANA ORANGE JUICE,,PIONEER SALES CORPORATION,23.66,30.00,1,22.09,2009,8902080011025
259,3019,BEE CLASSIC HONEY 30GM,,M/S LivRite Foods LLP,26.67,40.00,12,320.04,,  
260,3020,BEE KASHMIRI HONEY 30G,,M/S LivRite Foods LLP,33.33,50.00,8,266.66,,  
261,3030,LINDT LINDOR STRAWBERRY,,local purchase,550.00,1000.00,3,1650.00,,8003340097619
262,3033,chaakri khakra methi masala,,SHRAMIK NAARI SANGH,90.00,85.00,3,162.00,19059090,8901456000045
263,3034,chaakri khakra khichdi,,SHRAMIK NAARI SANGH,51.00,85.00,1,51.01,19059090,8901456000038
264,3037,chaakri breakfast khakra,,SHRAMIK NAARI SANGH,90.00,85.00,3,162.00,19059090,8901456000021
265,3038,chaakri khakra jeera,,SHRAMIK NAARI SANGH,90.00,85.00,2,108.00,19059090,8901456000014
266,3039,chaakri khakra peppery oats,,SHRAMIK NAARI SANGH,63.00,105.00,1,62.98,19059090,8901456000120
267,3040,chaakri khakra punjabi masala,,SHRAMIK NAARI SANGH,90.00,85.00,4,216.00,19059090,8901456000069
268,3041,chaakri khakra diet methi,,SHRAMIK NAARI SANGH,90.00,85.00,6,324.00,19059090,8901456000106
269,3042,chaakri khakra low calorie,,SHRAMIK NAARI SANGH,51.00,85.00,2,102.01,19059090,8901456000113
270,3043,chaakri khakra nachni,,SHRAMIK NAARI SANGH,90.00,85.00,8,432.00,19059090,8901456000052
271,3044,FERRERO  ROCHER  T 16,,A ONE SANDEEP,355.00,550.00,9,3195.15,,8000500037874
272,3045,MUNCHYS CRACKER SANDWICH,,MAHAVIR,140.00,175.00,4,560.01,,9556439887138
273,3047,TIM TAM CAPPUCINO,,jublee,100.00,140.00,3,300.00,,8886015423131
274,3050,AMERICAN GREEN HONEY 80G,,local purchase,80.00,120.00,16,1280.00,,003004575512
275,3052,JAF TEA MINT 50G,,SALEEM BAI,100.00,200.00,2,200.01,,4791038200505
276,3055,LINDT ORANGE,,local purchase,190.00,330.00,6,1140.09,,3046920028370
277,3056,NESCAFE GREEN COFFEE BLEND,,A ONE SANDEEP,195.00,480.00,3,585.03,,8992696428690
278,3058,BOOBOO STRAWBERRY CO CANDY,,U K SALES,66.97,100.00,8,521.43,,8906090980067
279,3059,BOOBOO ORIGINAL CO CANDY,,U K SALES,66.97,100.00,9,586.62,,8906090980043
280,3060,BOOBOO COCOA CO CANDY,,U K SALES,66.97,100.00,10,651.80,,8906090980050
281,3061,BOOBOO COFFEE CO CANDY,,U K SALES,66.97,100.00,12,782.16,,8906090980074
282,3062,RITI BITE NUTRITION BAR 40G,,prathamesh enterprise,22.25,35.00,27,600.78,,8906009531212
283,3063,RITE BITE SPORTS BAR 40G,,prathamesh enterprise,25.42,40.00,19,483.00,,8906009531816
284,3069,JOLLY RANCHER LOLLY POP,,MAHAVIR,18.00,25.00,4,72.00,,107073
285,3072,GIFT PACK,,local purchase,13.00,20.00,48,624.00,,  
286,3074,PAPER BOAT APPLE 180ML,,AYU INVESTMENTS,14.88,20.00,13,185.72,2202903,8906080600951
287,3075,PAPER BOAT AAM PANNA 180ML,,AYU INVESTMENTS,14.88,20.00,7,100.01,22029030,8906080600913
288,3079,Cadbury Dairy MILK Chocolate 165g,,A ONE SANDEEP,130.00,220.00,13,1690.06,,7622210410474
289,3083,M&M STRAWBERRY 160G,,jublee,380.00,550.00,1,380.00,,9300682049313
290,3087,KHAJOOR DRY FRUITS ROLL 250G,,m/s new royal,150.00,210.00,2,300.00,,  
291,3088,ANJEER DRYFRUITS KATLI250G,,m/s new royal,150.00,210.00,1,150.00,,  
292,3094,TRY 15MM,,local purchase,150.00,300.00,4,600.00,,  
293,3095,TRY18MM,,local purchase,150.00,400.00,3,450.00,,  
294,3105,PLAIN SOOP,,MUKHWASH,175.00,250.00,3,495.25,,  
295,3107,FERRERO ROCHER 375G,,A ONE SANDEEP,610.00,900.00,2,1219.99,,8000500032237
296,3108,captain fruits mallow,,A ONE SANDEEP,100.00,150.00,2,200.00,,6925448108894
297,3109,RITE BITE MAX PROTEIN 67G,,prathamesh enterprise,76.27,120.00,15,1144.06,2106,8906009531311
298,3110,RITE BITE WORK OUT BERRY 50G,,prathamesh enterprise,41.31,65.00,53,2189.54,,8906009532363
299,3111,CADBURY ROST ALMUND 165G,,jublee,130.00,220.00,1,130.00,,7622210400291
300,3114,PROSTEL GINGER,,A ONE SANDEEP,35.41,60.00,3,106.25,,4004591038660
301,3115,PROSTEL APPLE,,A ONE SANDEEP,35.41,60.00,3,106.25,,4004591038431
302,3116,PROSTEL RASPBERRY,,A ONE SANDEEP,35.41,60.00,3,106.25,,4004591038448
303,3117,PROSTEL CLASSIC,,A ONE SANDEEP,35.41,60.00,3,106.25,,4004591038400
304,3118,PROSTEL LEMON,,A ONE SANDEEP,35.41,60.00,2,70.83,,4004591038417
305,3119,BISLERI 300ML,,bisilery,5.44,10.00,60,326.36,,8906017290583
306,3121,TROPICANA MANGO DELIGHT 200G,,PIONEER SALES CORPORATION,15.74,20.00,3,44.07,,8902080011254
307,3123,CHIKO MILKE,,anandi bai,202.00,290.00,5,1010.00,,9501034690010
308,3124,chiko royal,,anandi bai,202.00,290.00,27,5454.00,,9501034607506
309,3125,CHIKO KOFFY,,anandi bai,198.00,290.00,5,990.00,,9501034639002
310,3129,KAHAJUR DRYFRUITS KATALES,,m/s new royal,150.00,210.00,4,600.00,,  
311,3132,MACANA ALL MIX,,m/s new royal,80.00,130.00,1,80.00,,  
312,3134,MACANA PUDINA,,m/s new royal,80.00,130.00,5,400.00,,  
313,3136,KACHHA KERI SWEETS,,MADE IN INDIA,800.00,1100.00,0,1.60,21069099,  
314,3139,ARABIAN GARDAN PASSION FRUIT,,MAHAVIR,45.83,75.00,4,183.35,,8936020052861
315,3140,ARABIAN GARDAN COCKTAIL,,MAHAVIR,45.83,75.00,5,229.18,,8936020052922
316,3141,ARABIAN GARDAN ORANGE,,A ONE SANDEEP,39.58,75.00,6,237.48,,8936020052878
317,3147,MAZAFATI DATES,,APMC,90.00,180.00,25,2250.02,,6260407810013
318,3150,WOODEN BOX SILVER 61,,NIMESH SHAH,230.00,340.00,1,230.00,,  
319,3151,WOODEN BOX COPPER 61,,NIMESH SHAH,230.00,340.00,1,230.00,,  
320,3152,WOODEN BOX  B48,,NIMESH SHAH,385.00,500.00,2,770.00,,  
321,3153,WOODEN BOX B13,,NIMESH SHAH,275.00,400.00,2,550.00,,  
322,3154,WOODEN BOX B10,,NIMESH SHAH,365.00,475.00,17,6205.00,,  
323,3155,WOODEN BOX B55,,NIMESH SHAH,275.00,400.00,10,2750.00,,  
324,3157,WOODEN BOX  B21,,NIMESH SHAH,250.00,250.00,19,4750.00,,  
325,3158,WOODEN BOX  B22,,NIMESH SHAH,240.00,320.00,4,960.00,,  
326,3159,WOODEN BOX  B6,,NIMESH SHAH,345.00,450.00,17,5865.00,,  
327,3165,FOXS FRUITS  NEW,,MAHAVIR,110.00,170.00,4,440.01,,8992696415409
328,3166,FOX BERRIES 180G,,MAHAVIR,110.00,170.00,2,220.01,,8992696418509
329,3168,NESTLE MILO 400G,,MAHAVIR,240.00,350.00,1,240.03,,8888082117722
330,3170,PAPER BOX GIF,,local purchase,25.00,50.00,15,375.00,,  
331,3176,TIM TAM VANILA,,jublee,100.00,140.00,1,100.00,,8886015427139
332,3177,TOBLERONE FURT&NUT,,MAHAVIR,85.00,160.00,21,1785.08,,7622300107949
333,3178,lolipop big round,,jublee,9.00,25.00,18,162.00,,  
334,3179,PEANUT CANDY,,m/s new royal,150.00,400.00,6,918.30,,  
335,3183,VINTAGE ALMONDS,,MAHAVIR,260.00,380.00,1,260.00,,9557940208016
336,3184,FLUFFY FRUIT FLAVOR MARSHMALLOW,,A ONE SANDEEP,47.00,80.00,34,1598.08,,6927262801883
337,3185,PRINGLES SALT VINEGAR 158G,,jublee,107.00,170.00,3,321.02,,038000138607
338,3187,PRINGLES SOUR CREAM & ONION,,A ONE SANDEEP,108.00,170.00,3,324.00,,038000138430
339,3188,PRINGLES ORIGINAL,,jublee,107.00,170.00,3,321.02,,038000138416
340,3190,CHAAKRI BAJRI METHI KHAKHRA,,SHRAMIK NAARI SANGH,63.00,105.00,2,126.02,210690,8901456000182
341,3198,HONEY DRY FRUITS MIX,,local purchase,380.00,520.00,1,380.00,,  
342,3199,QUINOA PUFFS PEPPY CHEESE,,RAJKALA INDUSTRIES PVT,53.57,80.00,7,375.01,,  
343,3214,MOD 002CE-6GD,,local purchase,2000.00,3500.00,3,6000.00,,  
344,3215,MOD 004CGD,,local purchase,2000.00,3200.00,1,2000.00,,  
345,3216,MOD 005 GLASS PLATES,,local purchase,550.00,1050.00,2,1100.00,,  
346,3217,MOD 55818 SSG MATAL TRY,,local purchase,1100.00,1900.00,1,1100.00,,  
347,3218,MOD 561185 MATEL TRAY,,local purchase,1100.00,1900.00,1,1100.00,,  
348,3219,MOD BJW 3014 GLASS PLATE,,local purchase,350.00,650.00,1,350.00,,  
349,3223,KITKAT 2 FINGER 20.5G,,local purchase,16.66,30.00,36,599.81,,6294003532956
350,3226,WOODEN BASKET 18X12,,ANITA VIKTOR WOODEN TOCRY,130.00,350.00,4,520.00,,  
351,3227,WOODEN BASKET 18X12,,ANITA VIKTOR WOODEN TOCRY,200.00,450.00,4,800.00,,  
352,3228,WOODEN BASKET 18X12,,ANITA VIKTOR WOODEN TOCRY,200.00,550.00,3,600.00,,  
353,3230,OVEL HANDED SET 12/8,,ANITA VIKTOR WOODEN TOCRY,135.00,350.00,1,135.00,,  
354,3231,OVEL HANDED SET 12/8,,ANITA VIKTOR WOODEN TOCRY,135.00,450.00,1,135.00,,  
355,3234,BOAT SHAP 12/8,,ANITA VIKTOR WOODEN TOCRY,150.00,450.00,1,150.00,,  
356,3235,HEART SHAP,,ANITA VIKTOR WOODEN TOCRY,140.00,250.00,2,280.00,,  
357,3236,HEART SHAP,,ANITA VIKTOR WOODEN TOCRY,200.00,350.00,2,400.00,,  
358,3237,HEART SHAP,,ANITA VIKTOR WOODEN TOCRY,200.00,450.00,2,400.00,,  
359,3238,OVEL HANDED SET 13/9 KD,,ANITA VIKTOR WOODEN TOCRY,190.00,400.00,2,380.00,,  
360,3239,OVEL HANDED SET 15/9,,ANITA VIKTOR WOODEN TOCRY,140.00,400.00,2,280.00,,  
361,3240,OVEL HANDED SET 18/2,,ANITA VIKTOR WOODEN TOCRY,260.00,600.00,2,520.00,,  
362,3241,101 BOX  8/8,,chheda super market,42.00,75.00,30,1308.89,,  
363,3242,111 BOX 8/12,,chheda super market,88.00,160.00,2,176.00,,  
364,3243,111 RED BOX 8/12,,chheda super market,88.00,160.00,1,88.00,,  
365,3244,111 BLUE BOX 11/11,,chheda super market,88.00,160.00,16,1462.64,,  
366,3245,111 CREAM BOX 11/11,,chheda super market,88.00,160.00,28,2559.62,,  
367,3246,115 BOX 10/15,,chheda super market,115.00,210.00,3,345.00,,  
368,3247,121 BOX 11/11,,chheda super market,88.00,160.00,33,3016.69,,  
369,3249,121 BOX 8/12,,chheda super market,88.00,160.00,3,264.00,,  
370,3250,141 BOX 11/11,,chheda super market,88.00,160.00,23,2102.54,,  
371,3252,144 BOX 10/15,,chheda super market,105.00,190.00,3,315.00,,  
372,3253,144 BOX 8/12,,chheda super market,79.00,145.00,30,2461.97,,  
373,3254,150 BOX 12/12,,chheda super market,100.00,180.00,2,200.00,,  
374,3255,184 BOX 10/15,,chheda super market,105.00,190.00,3,315.00,,  
375,3256,195 BOX 10/10,,chheda super market,79.00,145.00,2,158.00,,  
376,3258,175 BOX 10/10,,chheda super market,88.00,160.00,12,1056.00,,  
377,3260,190 BOX 11/11,,chheda super market,88.00,160.00,3,264.00,,  
378,3261,190 BOX 12/12,,chheda super market,110.00,195.00,2,220.00,,  
379,3262,190 BOX 8/12,,chheda super market,88.00,160.00,2,176.00,,  
380,3263,184 J BOX 12/18,,chheda super market,149.00,270.00,1,149.00,,  
381,3264,251 BOX 12/12,,chheda super market,319.00,575.00,1,319.00,,  
382,3265,217 BOX 10/10,,chheda super market,279.00,495.00,1,279.00,,  
383,3267,217 BOX 8/12,,chheda super market,279.00,495.00,2,558.00,,  
384,3268,220 BOX 10/10,,chheda super market,219.00,395.00,2,438.00,,  
385,3269,220 BOX 12/2,,chheda super market,279.00,495.00,2,558.00,,  
386,3271,PAPER BOAT CHILLI GUAVA 180ML,,AYU INVESTMENTS,14.88,20.00,9,128.58,2202,8906080600890
387,3273,PAPER BOAT MATTHA 200ML,,V.P.ENTERPRISE LLP(FACG),16.66,20.00,1,15.99,0403,8906080600654
388,3274,PAPER BOAT AAMRAS 1LTR,,V.P.ENTERPRISE LLP(FACG),73.66,99.00,3,203.29,2202,8906080600234
389,3275,PAPER BOAT APPLE 1LTR,,V.P.ENTERPRISE LLP(FACG),73.66,99.00,1,67.76,2202,8906080600630
390,3277,220 BOX 7/10,,chheda super market,179.00,299.00,12,2231.35,,  
391,3278,226 BOX 2/1,,chheda super market,179.00,299.00,2,358.00,,  
392,3279,226 BOX 3/1,,chheda super market,249.00,420.00,1,249.00,,  
393,3280,226 BOX 4/1,,chheda super market,279.00,469.00,2,558.00,,  
394,3281,230 12/12,,chheda super market,259.00,435.00,2,518.00,,  
395,3282,230 BOX 12/18,,chheda super market,349.00,585.00,2,698.00,,  
396,3283,230 BOX 7/10,,chheda super market,141.00,237.00,2,282.00,,  
397,3284,230 BOX 8/8,,chheda super market,141.00,237.00,2,282.00,,  
398,3287,234 GREEN BOX 10/15,,chheda super market,279.00,469.00,2,558.00,,  
399,3299,861 RECTANGLE BOX BIG,,chheda super market,449.00,795.00,1,449.00,,  
400,3300,TRAY BROWN BOX 8/8,,chheda super market,15.00,25.00,2,30.00,,  
401,3301,901 SMALL BOX,,chheda super market,200.00,349.00,2,400.00,,  
402,3302,DFB 137 BOX 8/18,,chheda super market,375.00,675.00,1,375.00,,  
403,3303,DF 109 BOX 8/12,,chheda super market,259.00,465.00,2,518.00,,  
404,3304,DFB 146 BOX 10/15,,chheda super market,349.00,625.00,1,349.00,,  
405,3306,745 ROUND BOX 3/1,,chheda super market,330.00,700.00,1,330.00,,  
406,3307,DFB166 BOX 10/10,,chheda super market,299.00,535.00,3,897.00,,  
407,3308,DFB205 GOLD BOX 10/10,,chheda super market,470.00,789.00,1,470.00,,  
408,3309,DFB217 GOLD BOX 10/15,,chheda super market,570.00,957.00,1,570.00,,  
409,3310,DFB229 BOX 1,,chheda super market,390.00,698.00,3,1170.00,,  
410,3311,DTF126 BOX 8/11,,chheda super market,120.00,216.00,3,360.00,,  
411,3312,HM10 BOX 10/10,,chheda super market,120.00,216.00,3,360.00,,  
412,3313,HM17 BOX 8/12,,chheda super market,120.00,216.00,3,360.00,,  
413,3314,HM18 BOX 8/12,,chheda super market,120.00,216.00,3,360.00,,  
414,3315,HM8 BOX 10/10,,chheda super market,120.00,216.00,3,360.00,,  
415,3316,M11 BOX 500G 4LINE,,chheda super market,29.00,55.00,5,145.00,,  
416,3317,M12 BOX 500G 4LINE,,chheda super market,48.00,85.00,98,4886.54,,  
417,3318,M12 BOX 1KG 4LINE,,chheda super market,68.00,125.00,102,7205.16,,  
418,3319,M13 BOX 1KG 4LINE,,chheda super market,68.00,125.00,71,5015.35,,  
419,3320,M51 BOX 1KG 4LINE,,chheda super market,63.00,112.00,5,315.00,,  
420,3321,M52 BOX 1KG 4LINE,,chheda super market,63.00,112.00,5,315.00,,  
421,3322,M54 BOX 1KG 4LINE,,chheda super market,68.00,125.00,5,340.00,,  
422,3323,M60 BOX 1KG 4LINE,,chheda super market,63.00,112.00,5,315.00,,  
423,3324,M66 BOX 1KG,,chheda super market,78.00,140.00,38,3079.02,,  
424,3325,M67 BOX 1KG,,chheda super market,78.00,140.00,3,234.00,,  
425,3327,N91 BOX 8/8,,chheda super market,42.00,75.00,53,2312.38,,  
426,3328,N92 BOX 10/10,,chheda super market,80.00,135.00,3,240.00,,  
427,3329,N92 BOX 8/8,,chheda super market,42.00,75.00,3,126.00,,  
428,3330,N94 BOX 8/8,,chheda super market,42.00,75.00,53,2312.38,,  
429,3331,N95 BOX 8/8,,chheda super market,42.00,75.00,33,1439.78,,  
430,3332,0341(B) BOX BIG,,chheda super market,267.00,480.00,2,534.00,,  
431,3333,0351 BOX BIG,,chheda super market,284.00,510.00,1,284.00,,  
432,3334,METAL TRAY BOX1,,chheda super market,45.00,80.00,29,1305.00,,  
433,3340,LONG CHIPS SEA SALT VINEGAR,,RAJKALA INDUSTRIES PVT,62.92,99.00,5,314.63,19053290,4750127300717
434,3341,LONG CHIPS WASABI,,RAJKALA INDUSTRIES PVT,62.92,99.00,4,251.70,,4750127300700
435,3342,NUT MIX SPL Kgs,,APMC,654.32,1100.00,3,1962.96,,  
436,3345,NESCAFE CLASSIC 200G,,A ONE SANDEEP,320.00,499.00,2,640.08,,7891000071823
437,3349,RANI GUAVA 180ML,,MAHAVIR,23.33,30.00,10,233.31,,6281034906337
438,3350,ARABIAN GARDAN MANGO WITH SEED,,MAHAVIR,45.83,75.00,2,91.67,,8936020052885
439,3353,wooDEN BASKET OVEL 11/7,,ANITA VIKTOR WOODEN TOCRY,85.00,150.00,5,425.00,,  
440,3354,BUTTER COOKIES,,K K FOODS,100.85,170.00,9,907.66,,8908003472409
441,3357,CHOCOCHIPS COOKIES,,K K FOODS,106.78,180.00,4,427.00,,8908003472416
442,3359,NAANKHATAI,,K K FOODS,83.05,140.00,2,166.10,,8908003472447
443,3360,WHOLEWHEAT NAANKHATAI,,K K FOODS,83.05,140.00,1,83.05,,8908003472478
444,3361,ALMOND FINGERS,,K K FOODS,103.81,175.00,2,207.56,,8908003472386
445,3362,OATS N COCONUT COOKIES,,K K FOODS,100.85,170.00,3,302.55,,8908003472454
446,3363,DATES N CASHEW COOKIES,,K K FOODS,100.85,170.00,1,100.85,19053100,8908003472423
447,3367,PUFFMSTER MASKA KHARI,,K K FOODS,32.63,55.00,1,32.62,19053100,8908003472003
448,3370,PEPPERMINT COBALT,,MAHAVIR,100.00,180.00,3,300.01,,022000005120
449,3371,AFTER EIGHT MINT CHOCOLATE,,jublee,285.00,500.00,3,855.05,,7613034944849
450,3372,LINDHT SWISS PREMIUM CHOCOLATE 350G,,MAHAVIR,900.00,1400.00,2,1800.04,,7610400078559
451,3374,FIGARO STFD G OLIVES 270GM,,A ONE SANDEEP,110.00,159.00,12,1320.20,,8410159047368
452,3375,GIGARO STUFFED OLIVES 270G,,A ONE SANDEEP,110.00,159.00,6,660.10,,8410159044336
453,3376,MILK FLAVOUR CHEWS,,A ONE SANDEEP,28.00,50.00,26,728.04,,87108781
454,3377,FRUIT TALLA STRAWBERY,,A ONE SANDEEP,27.00,50.00,19,513.02,,87108408
455,3378,FRUIT TELLA BLACKCURRENT,,jublee,27.50,50.00,3,82.50,,87108422
456,3379,FRUIT TELLA ORANGE,,A ONE SANDEEP,27.00,50.00,17,459.02,,87108415
457,3392,TWISST IRISH CREAM,,RAJKALA INDUSTRIES PVT,120.54,195.00,1,120.54,,9004380002402
458,3393,TWISST PINA COLADA,,RAJKALA INDUSTRIES PVT,120.54,195.00,2,241.07,,9004380002204
459,3396,PUFFMASTER SUJI TOAST,,K K FOODS,29.33,44.00,1,29.32,,8908003472041
460,3397,PUFFMASTER PREMIUM TOAST,,K K FOODS,29.33,44.00,1,29.32,,8908003472058
461,3408,16/18 HAEXAGOW,,SHALIBHADRA,550.00,900.00,1,495.00,,  
462,3419,B34,,NIMESH SHAH,265.00,400.00,15,3975.00,,  
463,3420,B08,,NIMESH SHAH,395.00,600.00,10,3950.00,,  
464,3421,B47,,NIMESH SHAH,285.00,440.00,12,3420.00,,  
465,3422,B11,,NIMESH SHAH,440.00,660.00,4,1760.00,,  
466,3423,BEANIES COFFEE AMARETTO ALMOND 50G,,RAJKALA INDUSTRIES PVT,314.62,495.00,1,314.59,21011110,5060169982109
467,3424,BEANIES COFFEE NUTTY HAZELNUT 50G,,RAJKALA INDUSTRIES PVT,290.04,495.00,1,290.06,,5060169982024
468,3425,BEANIES COFFEE VERY VANILLA 50G,,RAJKALA INDUSTRIES PVT,290.04,495.00,1,290.06,,5060169982017
469,3426,BEANIES COFFEE DOUBLE CHOCOLATE 50G,,RAJKALA INDUSTRIES PVT,290.04,495.00,1,290.06,,5060169982031
470,3427,BEANIES COFFEE MINT CHOCOLATE 50G,,RAJKALA INDUSTRIES PVT,314.62,495.00,1,314.59,,5060169982185
471,3431,JAMIE OLIVER RED PESTO,,RAJKALA INDUSTRIES PVT,301.34,450.00,1,301.36,,5060170800102
472,3432,JAMIE OLIVER CHILLI&GARLIC PESTO,,RAJKALA INDUSTRIES PVT,301.34,450.00,1,301.36,,5060170800089
473,3433,JAMIE OLIVER ITALIAN HERB PESTO,,RAJKALA INDUSTRIES PVT,301.34,450.00,2,602.72,,5060170800058
474,3435,KIT KAT DOUBLE CHOCOLATE,,local purchase,123.33,160.00,1,123.33,,6294003571030
475,3436,136 BOX 12/12,,chheda super market,110.00,180.00,5,550.00,,  
476,3438,pvc round bowel 6'',,local purchase,45.00,90.00,53,2385.00,,  
477,3444,TROPICANA CRANBERRY DELIGHT,,PIONEER SALES CORPORATION,86.93,110.00,2,151.13,,8902080013845
478,3448,booBOO COCOA PISMANIYA DELIGHT,,U K SALES,127.12,200.00,3,371.19,18069020,8906090980081
479,3451,PRINGLES BBQ 165G,,A ONE SANDEEP,108.00,170.00,2,216.00,,038000138546
480,3452,PEPSI 330ML,,MAHAVIR,41.66,75.00,27,1124.84,,9556404001033
481,3454,MONSTER ENERGY JUICED,,A ONE SANDEEP,104.16,180.00,1,104.17,,5060166699994
482,3455,MONSTER ENERGY KHAOS,,A ONE SANDEEP,104.16,180.00,5,520.83,,5060166697624
483,3456,ANNELEEN PURPLE COCTAIL,,A ONE SANDEEP,130.00,250.00,2,260.01,,5414145067647
484,3457,ANNELEEN BLU COCKTAIL,,A ONE SANDEEP,130.00,250.00,3,390.02,,5414145066886
485,3458,ANNELEEN PINKCOCKTAIL,,A ONE SANDEEP,130.00,250.00,2,260.01,,5414145067630
486,3459,PRINGLES CHEESY CHEESE 165G,,jublee,107.00,170.00,2,214.01,,038000138577
487,3462,PURE HEAVEN GRAPE WITH PEACH,,A ONE SANDEEP,150.00,299.00,5,750.00,,5032619311746
488,3463,WALL NUT KASHMEER 1,,QUARK FUTURE INNOVATION PVT LTD,500.00,1500.00,123,61703.00,,  
489,3464,WALL NUT KASHMEER 2,,QUARK FUTURE INNOVATION PVT LTD,700.00,1100.00,44,31070.20,,  
490,3472,FERRERO ROCHER 5,,A ONE SANDEEP,125.00,140.00,6,750.04,,8000500126936
491,3473,BLACK KISMISS WITH SEED,,APMC,280.00,650.00,3,844.63,,  
492,3479,GODIVA MILK CHOCOLATE 90G,,jublee,330.00,500.00,1,330.00,,5000168199221
493,3481,LIND SWISS CLASSIC 100G,,jublee,250.00,350.00,1,250.00,,7610400010368
494,3482,Lindit Swiss Classic,,local purchase,250.00,350.00,1,250.01,,7610400070195
495,3490,VINTAGE LUXURY ASSORTMENT,,MAHAVIR,220.00,350.00,1,220.02,,9557940205169
496,3493,ALMARAI  CREAM CHEES,,jublee,190.00,350.00,4,760.04,,6281007043359
497,3495,GALAXY FRUIT&NUT 36G,,prathamesh enterprise,30.00,40.00,45,1215.01,,6221134005660
498,3499,TROPICANA MIXED FRUIT 1000ml,,PIONEER SALES CORPORATION,94.66,120.00,1,88.36,,8902080013500
499,3501,TROPICANA POMEGRANATE DELIAGHT 1000ml,,PIONEER SALES CORPORATION,86.78,110.00,1,81.00,,8902080013869
500,3502,TROPICANA APPLE 1000ml,,PIONEER SALES CORPORATION,94.67,120.00,1,88.36,,8902080013036
501,3503,TROPICANA MIX FRUIT,,PIONEER SALES CORPORATION,26.32,30.00,13,270.26,,8902080011575
