SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
732,80152,CHO CHO VANILLA,,jublee,29.00,45.00,4,116.00,,8992952924669
733,80162,TIFFANY HAZELNUT WAFERS 150G,,A ONE SANDEEP,53.00,75.00,11,583.09,,6291003007095
734,80165,NESCAFE CLASIC 50G,,A ONE SANDEEP,125.00,200.00,5,625.08,,7891000071809
735,80167,VOCHELLE HAZELNUTS GB-180G,,A ONE SANDEEP,250.00,350.00,8,1999.98,,9556049003119
736,80169,VOCHELLE ALMONDS GB-180G,,A ONE SANDEEP,250.00,350.00,2,499.99,,9556049003126
737,80189,PRINGLES orginal 40G,,MAHAVIR,60.00,70.00,2,120.00,,038000845512
738,80191,LIND LINDOR ASSOURTED 200G,,MAHAVIR,550.00,1000.00,2,1100.03,,8003340090276
739,80192,LINDT LINDOR EXTRA DRAK,,local purchase,550.00,1000.00,2,1100.00,,8003340090269
740,80200,ANNELEENS WHITE GRAPE,,A ONE SANDEEP,130.00,250.00,2,260.01,,5414145066008
741,80201,MOGUMOGU PcsEAPPLE 300ML,,local purchase,43.33,55.00,31,1343.31,,8850389100868
742,80202,RANI STOWARRY 180ML,,MAHAVIR,23.33,30.00,2,46.66,,6281034903916
743,80207,CHIKO ECLR CHOCO 750,,Cash,195.00,290.00,9,1755.00,,9501034778008
744,80218,SPRING ALMOUND MILK CHOLATE,,Cash,100.00,200.00,1,100.00,,9555711701414
745,80227,TOBLERONE DARK 100G,,jublee,85.00,150.00,27,2295.01,,7614500010617
746,80228,TOBLERONE 100 G fruit & Nut chocolate,,A ONE SANDEEP,77.50,135.00,8,619.95,,7614500010013
747,80229,TOBLERONE WITH 100G,,MAHAVIR,90.00,150.00,25,2250.10,,7614500010310
748,80234,KOKOLA FAMALY,,A ONE SANDEEP,195.00,300.00,1,195.01,,8998389683278
749,80243,EXTRA CLASIC BUBBLE,,Cash,91.67,150.00,1,91.67,,2284509
750,80248,Peanut m&m 45g,,A ONE SANDEEP,35.41,80.00,17,602.00,,40111445
751,80251,BOUNTY  57G,,prathamesh enterprise,37.50,50.00,30,1012.56,1806,40111216
752,80252,DAVIDOFF R AROMA 100G,,A ONE SANDEEP,310.00,550.00,1,310.02,0901,4006067084225
753,80253,MARS BAR 51G,,A ONE SANDEEP,25.41,40.00,24,609.94,18069010,5000159407236
754,80259,TWIX II BAR 50G,,prathamesh enterprise,37.50,50.00,6,202.51,1806,5000159459228
755,80264,MAGIC POP  POP CANDY 5.5G,,A ONE SANDEEP,4.62,10.00,86,397.34,,6929354789659
756,80273,MUNCHYS KRAKER SAYURAN,,A ONE SANDEEP,135.00,170.00,2,270.00,,9556439888562
757,80288,maltesers,,Cash,280.00,360.00,1,280.00,,5000159031103
758,80296,MOGUMOGU ORANGE 300ML,,local purchase,43.33,55.00,7,303.33,,8850389100677
759,80298,MOGUMOGU MANGO 300ML,,MAHAVIR,41.66,55.00,4,166.65,,8850389100769
760,80307,PRINGLES 40G,,jublee,50.00,70.00,1,50.00,,5053990107261
761,80312,RED BULL 250ML,,MAHAVIR,75.00,110.00,23,1725.01,,90162602
762,80315,TANG MANGO 2.5Kgs,,A ONE SANDEEP,640.00,1000.00,3,1920.00,,7622300489960
763,80329,HARTTLES APRICOT JAM 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,1,184.12,,50354085
764,80330,BLACKCURRENT JAM 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,1,184.12,,50354092
765,80341,MOGUMOGU GRAPE 300ML,,A ONE SANDEEP,43.33,55.00,10,433.32,,8850389101391
766,80342,MOGUMOGU APPLE 300ML,,local purchase,43.33,55.00,7,303.33,,8850389105399
767,80352,STute daibetic jam apricot 430g,,A ONE SANDEEP,185.00,350.00,1,185.01,,4006424022389
768,80353,STUTE DAIBETIC JAM TCORNG 430G,,A ONE SANDEEP,185.00,350.00,1,185.00,,4006424022693
769,80354,STUTE FINE CUT ORANGE 430G,,A ONE SANDEEP,190.00,350.00,1,189.99,,4006424022686
770,80356,JAF TEA EG 50G,,MAHAVIR,180.00,230.00,1,180.01,,4791038200499
771,80357,FLEMISH PINK,,MAHAVIR,70.00,99.00,12,840.00,,5414145066664
772,80368,FLEMISH BULE,,MAHAVIR,70.00,99.00,5,350.02,,5414145066640
773,80369,flemish purple,,MAHAVIR,70.00,99.00,7,490.02,,5414145066657
774,80370,FLEMISH RED 330ML,,MAHAVIR,70.00,99.00,10,700.03,,5414145066633
775,80383,SHANI 300 ML,,MAHAVIR,45.83,75.00,21,962.56,,012000800368
776,80385,PEPSY 300ML,,MAHAVIR,37.50,50.00,24,900.01,,012000800047
777,80386,7 UP 300ML,,MAHAVIR,37.50,50.00,23,862.51,,012000800313
778,80389,LINDT SWISS MILK CHO 100G,,jublee,195.00,300.00,2,390.03,,7610400010016
779,80395,TOBLERONE CRUNCHY ALMUND,,local purchase,90.00,150.00,11,990.00,,7622300710613
780,80410,KERK CHO SANDWICH230G,,A ONE SANDEEP,125.00,199.00,5,625.03,,9556085793821
781,80424,LINDT LINDOR ORANGE 200G,,local purchase,550.00,1000.00,2,1100.00,,8003340097145
782,80426,RAFFAELLO 30G T3 BAR,,A ONE SANDEEP,51.25,100.00,4,205.00,,80052487
783,80427,DONELLI GRAPE FRUITS,,Cash,0.00,0.00,1,0.00,,8008920654329
784,80432,DAVIDOFF 57 ESPRESSO 250GM,,local purchase,320.00,550.00,4,1280.07,0901,4006067060977
785,80435,LINDT SWISS CLASSIC DARK CHO 100G,,jublee,250.00,300.00,2,500.00,,7610400070188
786,80442,DOLPHIN FRUIT PUDDING 6P 85GM,,anandi bai,70.00,120.00,8,560.00,,9555028704740
787,80444,CADBURRY FLAKE 18G,,A ONE SANDEEP,23.05,50.00,35,806.69,,5000312003602
788,80445,chiko kokanaut,,anandi bai,195.00,280.00,16,3120.00,,9501034689007
789,80459,FIGARO SLCD G OLIVE 450GM,,MAHAVIR,100.00,150.00,1,100.00,,8410159270056
790,80465,FRESHS PENUT BUTTER CRUNCHY,,Cash,0.00,140.00,2,0.00,,8906065940393
791,80466,SNICKERS 50G,,prathamesh enterprise,30.64,35.00,27,827.28,,5000159461122
792,80468,HARTLEYS BLACK CHERRY 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,2,368.29,,50354139
793,80480,SPRING MILK CHOCOLATE 100G,,Cash,100.00,150.00,4,400.00,,9555711701186
794,80486,HERSHEYS COKS N CRM 146G,,MAHAVIR,260.00,450.00,2,520.00,,6942836706388
795,80496,SOUR PUNK APPL 40G,,local purchase,20.00,30.00,19,379.99,,8850632603597
796,80501,ALSHIFA HONEY 500ML,,SALEEM BAI,485.00,675.00,2,970.00,,6281073210181
797,80504,ALSHIFA HONEY 250ML,,SALEEM BAI,270.00,340.00,2,540.00,0409,6281073210143
798,80508,anneleen peach,,Cash,135.00,250.00,1,135.00,,5414145066022
799,80520,MAGGI VEG CUBE 20G,,A ONE SANDEEP,12.75,20.00,3,38.25,,6221007004479
800,80533,HARTLEYS PcsEAPPLE 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,3,552.37,,50354160
801,80534,NESCAFE MATINAL 200G,,jublee,300.00,499.00,4,1200.02,,7891000315606
802,80535,FERRERO ROCHER  T 3,,MAHAVIR,68.75,100.00,18,1237.53,,80050278
803,80536,FERRERO ROCHERT24-300Grm,,local purchase,590.00,799.00,5,2949.91,,8000500009673
804,80538,DELIGHT PRUNCE,,anandi bai,140.00,225.00,7,980.00,,8908005072560
805,80540,FRESHS BUTTER CREAMY 340G,,Cash,90.00,140.00,1,90.00,,8906065940409
806,80554,KOKOZO MANGO,,Cash,33.34,50.00,1,33.34,,8857099004288
807,80577,LINDT 85% CACAO,,jublee,200.00,330.00,2,400.00,,3046920022606
808,80584,ARABIAN ORANGE 290ML,,MAHAVIR,45.83,75.00,4,183.32,,8936085521920
809,80590,LINDT EXCELLENCE 70%DARK,,local purchase,190.00,330.00,3,570.05,,3046920028004
810,80594,TORETTO MILK CHO 1,,Cash,0.00,150.00,1,0.00,,9555711702305
811,80597,NUTELLA  FERRERO 350 G,,MAHAVIR,225.00,325.00,6,1350.02,,80177173
812,80611,HERSHEYS SYRUP STRAWBERRY 623G,,A ONE SANDEEP,150.00,200.00,4,600.00,,8901071706841
813,80616,STUTE STRAWBERRY 430G,,A ONE SANDEEP,190.00,350.00,1,190.01,,4006424022365
814,80632,AMERICAN LYCHEE 290ML,,Cash,45.00,75.00,1,45.00,,8936085521975
815,80633,JAF TEA JASMINE,,Cash,0.00,230.00,3,0.00,,4791038200482
816,80647,arabian pinapple,,A ONE SANDEEP,41.67,75.00,1,41.67,,8936085522033
817,80649,MANTOS ANGGUR 37G,,local purchase,16.25,25.00,8,130.01,,8990800006727
818,80650,AMERICAN GARDEN AC VNGR 473ML,,A ONE SANDEEP,80.00,165.00,3,240.00,,717273501782
819,80651,TOBLERONE 50G,,local purchase,48.50,75.00,5,242.50,,76145513
820,80652,LIINDT EXTRA CREAMY 100G,,local purchase,190.00,330.00,2,380.00,,3046920011013
821,80655,ARABIAN GARDEN PESCH,,A ONE SANDEEP,45.84,75.00,2,91.68,,8936085521944
822,80670,CHO CHO CRISPY,,jublee,29.00,45.00,4,116.00,,8992952924645
823,80676,NESCAFE GOLD BLEND 200G,,Cash,0.00,690.00,1,0.00,,4005500047056
824,80688,TANG LEMON P 500G,,Cash,160.00,220.00,1,160.00,,7622210375438
825,80690,TANG LMN&MINT P 500G,,local purchase,125.00,220.00,2,250.00,,7622210375469
826,80706,SOUR PUNK STBRY 20G,,renz,11.67,20.00,1,11.67,,8850632605867
827,80714,ALSHFA HONEY 1 LET,,SALEEM BAI,885.00,1350.00,2,1770.00,,6281073210228
828,80725,TIFANI CRUNCH N CREAM orange 150GM,,A ONE SANDEEP,53.00,75.00,7,371.06,,6291003005626
829,80726,TIFFANY VANILLA WAFERS 153G,,A ONE SANDEEP,53.00,75.00,2,106.02,,6291003005633
830,80737,RANI ORANGE JUICE 180ML,,MAHAVIR,23.33,30.00,10,233.31,,6281034016012
831,80739,RANI PEACH 180ML,,A ONE SANDEEP,23.33,30.00,13,303.29,,6281034016142
832,80742,GALAXY FRUIT&NUT S40G,,prathamesh enterprise,27.66,40.00,18,448.09,,6221134001129
833,80743,RANI PCSEAPPLE 180ML,,A ONE SANDEEP,23.33,30.00,31,723.22,,6281034000370
834,80745,RANI MANGO JUICE 180ML,,A ONE SANDEEP,23.33,30.00,14,326.62,,6281034903565
835,80746,SKIPPY PEANUT BUTTER,,Cash,0.00,360.00,1,0.00,,037600110723
836,80747,ECLARS CAPPUCCINO,,Cash,170.00,250.00,1,170.00,,6271028080952
837,80749,STute daibetic jam peach 430g,,A ONE SANDEEP,180.00,300.00,3,540.00,,4006424022341
838,80762,SOUR PUNK STBRY 40G,,A ONE SANDEEP,6.39,28.00,2,12.78,,8850632600275
839,80763,SOUR PUNK BBERRY 40G,,jublee,20.41,30.00,4,81.64,,8850632603658
840,80769,TANG TROPCL P 500G,,A ONE SANDEEP,125.00,220.00,4,500.08,,7622210375377
841,80774,MILKA DAIM 100G,,local purchase,130.00,250.00,1,130.00,,7622300185015
842,80775,CADBURY DAIRY MILK BUBBLY 87G,,local purchase,100.00,280.00,4,400.00,,7622210077691
843,80782,TWININGS GREEN TEA 20BAG,,Cash,0.00,250.00,2,0.00,,070177103071
844,80785,TIFFANY STRAWBERRY WAFERS 150G,,A ONE SANDEEP,53.00,75.00,2,106.02,,6291003005619
845,80794,BOOTS DAIBETIC SF PLN 100G,,local purchase,270.00,400.00,2,540.00,,5000167082906
846,80802,LAVACHE CHEEESE 8P,,A ONE SANDEEP,90.00,220.00,3,270.01,,3073786155186
847,80803,Chocodate Almond 100g,,MAHAVIR,70.00,140.00,6,420.04,,8906017971307
848,80807,PRINGLES ORIGNAL 169G,,A ONE SANDEEP,110.00,170.00,1,110.03,,038000844966
849,80813,OREO MINI CHO 67G,,A ONE SANDEEP,80.00,130.00,1,79.99,,7622300761363
850,91101,FIG BIG,,APMC,907.00,1550.00,2,1991.76,,  
851,91102,FIG MEDIUM,,APMC,808.00,1050.00,2,1935.17,0804,  
852,91103,SUNFLOWER SEED,,APMC,190.00,450.00,15,2794.54,,  
853,91104,PUMPKIN SEED ROASTED,,MUKHWASH,900.00,1250.00,3,2814.30,,  
854,91105,CASHEW CHOCOLATE,,m/s new royal,1000.00,1300.00,5,4960.00,,  
855,91107,CARDAMOM 12MM,,m/s new royal,1450.00,2100.00,3,4579.10,,  
856,91112,HONEY MELON DRY,,renz,560.00,740.00,0,1.13,,  
857,91113,CRANBERY SLICE,,APMC,353.00,850.00,11,3899.24,,  
858,91114,BLUE BERRY DRY,,APMC,1265.00,2400.00,4,5385.14,,  
859,91115,DRY DATES YELLOW,,m/s new royal,180.00,350.00,8,1521.00,,  
860,91116,pinappele coin,,APMC,392.00,750.00,8,3012.92,,  
861,91117,MANGO BROKEN,,m/s new royal,600.00,800.00,5,2866.80,,  
862,91118,WATER MELON SEED,,m/s new royal,200.00,550.00,2,499.20,,  
863,91119,Cummin Seed,,m/s new royal,260.00,400.00,3,661.44,,  
864,91120,POPPY SEED,,m/s new royal,680.00,950.00,2,1553.12,,  
865,91121,FLAX SEED,,MUKHWASH,110.00,450.00,10,1089.66,,  
866,91122,AMLA DRY,,m/s new royal,160.00,400.00,9,1368.96,,  
867,91123,HOT MIX NUTS,,m/s new royal,800.00,1200.00,8,6736.80,,  
868,91125,CASHEW  SALT,,m/s new royal,1300.00,1550.00,9,11689.60,,  
869,91126,CASHEW W320,,APMC,891.00,1400.00,13,11919.44,,  
870,91127,CASHEW W240,,PRATAPSINH &CO,918.28,1500.00,12,10852.30,,  
871,91128,CASHEW W180,,PRATAPSINH &CO,1169.28,1650.00,9,10589.62,08013220,  
872,91129,ORANGE SLICE,,APMC,564.00,1000.00,10,5400.90,,  
873,91130,BLACK KISMISS SEED LESS,,APMC,265.00,700.00,17,4591.12,,  
874,91131,CHAROLI,,m/s new royal,900.00,1100.00,4,3160.80,,  
875,91132,GREEN KISMISS SEED LESS,,PRATAPSINH &CO,205.00,550.00,3,614.83,08062010,  
876,91133,CHIA SEED,,m/s new royal,450.00,850.00,4,1688.40,,  
877,91134,PLUMS DRY,,APMC,471.00,890.00,8,3595.61,,  
878,91135,BLACK BERRY,,APMC,470.00,850.00,7,3099.32,,  
879,91136,ALMOND SALT,,m/s new royal,820.00,1400.00,7,5644.88,,  
880,91137,FRUIT MIX,,m/s new royal,600.00,850.00,25,14876.40,,  
881,91138,ALMOND CANDY UAE,,m/s new royal,250.00,400.00,3,632.50,,  
882,91139,APRICOT JARDALU SPECIAL,,APMC,710.00,1600.00,9,6549.04,,  
883,91140,PISTA AMERICA,,APMC,916.00,1350.00,12,10561.96,,  
884,91141,HAZEL NUT,,m/s new royal,900.00,1900.00,4,3321.00,,  
885,91143,CLOVES,,m/s new royal,850.00,1300.00,4,3265.70,,  
886,91144,CINAMON SRILANKHA,,APMC,294.00,550.00,3,969.03,,  
887,91145,CASHEW CHILLY GARLIC,,m/s new royal,1000.00,1400.00,6,5530.00,,  
888,91146,CASHEW PEPPER,,m/s new royal,1000.00,1400.00,5,5448.00,,  
889,91147,CASHEW RED CHILLI,,m/s new royal,1000.00,1400.00,6,5786.00,,  
890,91148,MANGO CANDY CHUNK,,m/s new royal,220.00,400.00,11,2372.04,,  
891,91149,LICHY CHUNK,,m/s new royal,140.00,400.00,9,1301.72,,  
892,91150,MAMRA BADAM-IRAN,,APMC,2254.00,3500.00,6,12486.93,,  
893,91151,PECAN NUT,,m/s new royal,1700.00,2300.00,2,3590.40,,  
894,91152,BRAZIL NUT,,m/s new royal,2300.00,3300.00,3,6844.80,,  
895,91153,KISSMISS IRAN PREMIUM WHITE SL,,Cash,1400.00,375.00,10,14000.00,,  
896,91155,PRUNES      LOOSE,,m/s new royal,460.00,700.00,4,2006.98,,  
897,91156,KIWI GREEN DRY,,APMC,353.00,750.00,11,3816.63,,  
898,91158,BLACK CURRENT,,m/s new royal,340.00,560.00,0,0.68,,  
899,91159,BABY ORANGE,,APMC,417.00,725.00,3,1118.40,,  
900,91160,BABY LEMON,,APMC,392.00,750.00,7,2764.01,,  
901,91161,MANGO TRIANGLE,,m/s new royal,650.00,850.00,3,1730.30,,  
902,91163,GUAVA DRY TRNG,,m/s new royal,540.00,750.00,2,1253.88,,  
903,91164,CHERRY DRY,,APMC,490.00,890.00,3,1373.96,,  
904,91166,ACROT,,APMC,392.00,1100.00,3,1114.06,,  
905,91168,IMLY  CANDY,,m/s new royal,125.00,300.00,14,1806.38,,  
906,91169,CASHEW GREEN CHLLY,,m/s new royal,1000.00,1400.00,5,4936.00,,  
907,91170,PISTA IRAN SALT,,APMC,1142.00,1650.00,9,10131.82,,  
908,91171,STRAWBERRY DRY,,APMC,515.00,850.00,11,5673.49,,  
909,91172,ALMOND CALIFORNIA,,APMC,697.00,1200.00,7,4667.82,,  
910,91175,GREEN KISMISS IRAN,,PRATAPSINH &CO,225.00,700.00,21,4733.04,08062010,  
911,91176,MABROOM DATES M,,APMC,650.00,1000.00,12,8032.76,,  
912,91178,AJWA DATES,,APMC,1350.00,2500.00,13,17693.22,,  
913,91179,MANGO DRY SPECIAL,,APMC,490.00,1000.00,12,5876.83,,  
914,91180,APRICOT DRY TURKEL,,APMC,358.00,850.00,10,3692.44,,  
915,91184,WALL NUT USA,,APMC,1127.00,2050.00,9,10167.77,,  
916,91186,CARDAMOM MKM,,Cash,1400.00,1800.00,1,1534.40,,  
917,91188,BLACK PAPPER BLTW,,m/s new royal,800.00,1300.00,6,4617.60,,  
918,91191,POMELO DRY GREEN SLICE,,APMC,392.00,830.00,4,1568.78,,  
919,91192,GOONDH M,,m/s new royal,260.00,500.00,6,1575.08,,  
920,91193,GOONDH BLRY,,m/s new royal,540.00,740.00,6,3121.20,,  
921,91194,CASHEW W210,,PRATAPSINH &CO,967.00,1550.00,17,17055.85,08013220,  
922,91195,MUNAKKA,,m/s new royal,680.00,950.00,5,3253.12,,  
923,91196,DRY DATES BLACK,,m/s new royal,200.00,350.00,5,999.60,,  
924,91202,"AR BSKT 12""",,renz,300.00,400.00,1,301.54,,  
925,91203,AMC BASKET 9X6,,renz,125.00,200.00,1,125.64,,  
926,91209,B5E BASKET,,renz,125.00,175.00,1,125.64,,  
927,91210,BS W/H BASKET 12X8,,renz,125.00,175.00,3,376.92,,  
928,91211,"BM BASKET 9""S",,renz,40.00,75.00,4,160.82,,  
929,91212,"CANE O&R BASKET 8""",,renz,50.00,100.00,2,100.51,,  
930,91213,AMLA HONEY,,m/s new royal,245.00,450.00,11,2578.38,,  
931,91214,PUMPKIN SEED WITH SHELL,,m/s new royal,420.00,800.00,3,1422.96,,  
932,91215,"CANE MIX BASKET 9""",,renz,125.00,200.00,10,1256.40,,  
933,91216,"CANE R BASKET 10""",,renz,100.00,175.00,3,301.54,,  
934,91219,"CANE R BASKET WW/H 11""",,renz,200.00,300.00,1,201.02,,  
935,91230,"WOODEN R BASKET 10""",,renz,60.00,150.00,2,120.61,,  
936,91232,WOODEN O BASKET 11X9,,renz,65.00,150.00,1,65.33,,  
937,91235,"WOODEN R BASKET 12""",,renz,80.00,160.00,1,80.41,,  
938,91236,"WOODEN R BASKET W/H 12""",,renz,85.00,175.00,1,85.44,,  
939,91237,WOODEN S BASKET W/H 9X9,,renz,75.00,175.00,2,150.77,,  
940,91240,"WOODEN R BASKET 11""",,renz,75.00,150.00,1,75.38,,  
941,91242,ALMOND U S A,,APMC,854.00,1300.00,19,15831.45,,  
942,91243,BLACK SEED,,renz,400.00,700.00,1,479.24,,  
943,91247,STONE CHOCOLATES,,ajfan,290.00,750.00,21,5983.31,,  
944,91248,MUKHWAS GREEN,,MUKHWASH,90.00,250.00,108,9688.50,,  
945,91250,MUKWAS FLAX MIX,,m/s new royal,140.00,350.00,3,384.72,,  
946,91251,GINGER CUBE,,APMC,490.00,840.00,13,6272.28,,  
947,91264,SILVR BLUE APPLE TRAY 245G,,renz,110.25,150.00,1,110.25,,  
948,91265,SILVR YELW APPLE TRAY 260G,,renz,117.00,150.00,1,117.00,,  
949,91266,SILVR GREN PEAR TRAY 425G,,renz,191.25,250.00,1,191.25,,  
950,91267,MACADAMIA NUTS,,m/s new royal,2200.00,2700.00,3,7026.80,,  
951,91273,INDIAN KISSMISS A,,PRATAPSINH &CO,183.00,400.00,29,5354.32,0806,  
952,91275,FIG IRAN MEDIUM,,APMC,907.00,1350.00,3,2294.70,08042090,  
953,91277,YEKTA DATES,,APMC,155.00,400.00,15,2287.49,,  
954,91289,APRICOT JARDALU BIG,,APMC,710.00,1300.00,9,6375.80,,  
955,91290,FANCY SLR TRAY 9X7,,renz,35.00,70.00,2,70.36,,  
956,91310,DRY DATES BROKEN,,m/s new royal,160.00,300.00,6,926.40,,  
957,91314,WAL NUT BRKN LH KSMR,,eskay dry fruit mumbai,1150.00,1600.00,0,4.60,,  
958,91315,WAL NUT SW KSHMR,,APMC,882.00,1800.00,0,3.53,,  
959,91319,PAPAYA CUBE,,APMC,392.00,650.00,6,2377.48,,  
960,91322,FANCY SLR TRAY 6X6,,renz,25.00,50.00,78,1959.98,,  
961,91323,GG BSKT ASSORT,,renz,349.89,750.00,21,7516.02,,  
962,91328,SULTHAN DATES,,APMC,145.00,350.00,23,3368.64,,  
963,91329,CASHEW PAKODA,,m/s new royal,1000.00,1250.00,5,5012.00,,  
964,91331,NUT MIX BRKN Kgs,,m/s new royal,560.00,1000.00,4,2158.24,,  
965,91334,CASHEW ALL MIX,,m/s new royal,1000.00,1500.00,2,2405.00,,  
966,91346,SUKRI DATES.,,APMC,510.00,900.00,5,2803.98,,  
967,91353,Nuts Mix SPL,,local purchase,643.48,1100.00,2,1521.19,,  
968,91363,IMPORTED CHO,,ajfan,230.00,500.00,227,52143.69,,  
969,91369,CHO IMP.,,A ONE SANDEEP,240.00,500.00,0,0.96,,  
970,91375,HM CHO 700/Kgs,,Raju Hommeid cholacolate,360.00,700.00,188,67507.85,,  
971,91384,NUT MIX SPL Kgs,,Cash,484.29,1000.00,0,0.97,,  
972,91386,PINUTS ROSTED,,m/s new royal,3200.00,4500.00,2,7622.40,,  
973,91407,MANGO & LICHY CANDY CHUNK MIX,,m/s new royal,220.00,400.00,0,0.44,,  
974,91435,Kalmi Dates,,haji gani traders,470.00,800.00,14,6671.18,,  
975,91449,NUT MIX SPL Kgs,,m/s new royal,760.00,1000.00,0,1.52,,  
976,91459,pvc round bowel 6'',,local purchase,21.00,40.00,22,462.00,,  
977,91473,JAMUN CHIPS 80GM,,m/s new royal,140.00,210.00,4,560.00,,  
978,91476,Kismis Afghan 2,,APMC,686.00,1000.00,5,3239.97,,  
979,91477,DEGLET NOOR SOFT DATES,,APMC,317.00,700.00,15,4773.69,,  
980,91479,Pineapple Dry Round 2,,APMC,417.00,780.00,18,7318.68,,  
981,91480,Cashew 2 Sp,,PRATAPSINH &CO,799.28,1200.00,6,4712.46,,  
982,91504,PISTHA NON SHAL,,APMC,1352.00,2200.00,10,14177.71,,  
983,91505,ALMUND CALIFORNIYA 2,,APMC,632.00,1000.00,19,11877.25,,  
984,91506,PUMKEM SEED,,APMC,363.00,800.00,18,6618.51,,  
985,91507,PISTA IRAN M,,APMC,857.00,1200.00,11,9029.76,,  
986,91508,CASHEW PUDINA,,m/s new royal,1000.00,1400.00,0,4.00,,  
987,91510,AMLAHUNY W SEED,,m/s new royal,230.00,450.00,6,1358.38,,  
988,91512,BADAM CANDY,,m/s new royal,250.00,390.00,20,4973.50,,  
989,91513,KHAJOOR DRY FRUITS ROLL 250G,,m/s new royal,145.00,210.00,2,290.00,,  
990,91517,dolphin jelly,,anandi bai,1.60,5.00,1045,1672.00,,  
991,91518,mamra badam big,,APMC,2254.00,3700.00,7,16107.81,,  
992,91519,MEDAOUL DATES,,KANDHAR TRADERS,604.80,1500.00,15,12440.03,0804,  
993,91520,YELLO DRY DATES BROKEN,,m/s new royal,200.00,360.00,4,706.00,,  
994,91527,HM CHOLATE 700 KG,,CHOICE BEST CHOCOLATE,420.00,700.00,0,1.68,,  
995,91528,HM CHOLATE 1000 KG,,APMC,588.00,1000.00,19,11231.30,,  
996,91530,mukavas withe,,m/s new royal,90.00,300.00,1,98.28,,  
997,91531,MALAMAL CASHEW,,Cash,840.00,1100.00,0,1.68,,  
998,91532,cashew rose,,m/s new royal,1000.00,1300.00,5,4590.00,,  
999,91534,mukkavas mandas,,MUKHWASH,200.00,400.00,2,376.00,,  
1000,91535,STRAFUN,,Cash,450.00,750.00,4,1665.00,,  
1001,5053990137794,PRINGLES SALT VINEGAR 40G,,jublee,50.00,70.00,1,50.00,,  
1002,6297000361321,AL BARAKAH DATES SYRUP 400G,,m/s new royal,165.00,350.00,1,165.00,,  
1003,8906002484004,SNICKERS  15G,,prathamesh enterprise,7.70,10.00,110,762.34,1806,8906002484003
